"","cpu","cores","AI Score (Mean)","AI Score (St.Dev.)","Inference Score (Mean)","Inference Score (St.Dev.)","Training Score (Mean)","Training Score (St.Dev.)","Power","aiscore_per_w (Mean)","aiscore_per_w (St.Dev.)","n","formal_name","Wall Clock Time (Mean)","Wall Clock Time (St.Dev.)","app_version","resource","release_date","nominal_freq"
"1","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami)",48,1034,"± 3",535,"± 2",499,"± 2","111 ± 7","9.4","± 0.6",20,"Ookami-Bin",2099,7.2,"0.1.2","Ookami-Bin","2019?","1.8"
"2","ARM Amazon Graviton 2, Neoverse N1 (AWS)",48,3030,"± 12",1676,"± 7",1355,"± 6",NA,"NA","± NA",12,"Amazon-Graviton2-48",1217.2,5.1,"0.1.2","amazon-graviton2-48","Nov-2019","2.6"
"3","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",48,4581,"± 12",2407,"± 10",2174,"± 8",NA,"NA","± NA",11,"Amazon-Graviton3-48",1012.1,37.2,"0.1.2","amazon-graviton3-48","Nov-2021","2.5"
"4","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",64,4850,"± 31",2708,"± 21",2143,"± 13",NA,"NA","± NA",20,"Amazon-Graviton3-64",973.4,4.3,"0.1.2","amazon-graviton3-64","Nov-2021","2.5"
"5","ARM Ampere Altra, Neoverse N1 (Azure)",48,3177,"± 15",1803,"± 10",1375,"± 6",NA,"NA","± NA",11,"Google-T2A-48",1179.2,5.2,"0.1.2","google-tau-t2a-48","March-2021","Up to 3.0"
"6","ARM Ampere Altra, Neoverse N1 (Azure)",64,3214,"± 20",1977,"± 15",1238,"± 6","270 ± 0","11.9","± 0.1",20,"Azure-Altra-64",1184.2,6.7,"0.1.2","azure-altra-64","March-2021","Up to 3.0"
"7","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (SDSC Expanse)",128,2696,"± 17",1761,"± 14",936,"± 9",NA,"NA","± NA",11,"SDSC Expanse",1190.5,9.9,"0.1.2","Expanse","Mid-2019","2.25"
"8","x86 AMD EPYC 7763 Zen3(Milan), AVX2 (Purdue Anvil)",128,3079,"± 26",1992,"± 16",1087,"± 13",NA,"NA","± NA",11,"Purdue Anvil",1098.7,4.7,"0.1.2","Anvil","March-2021","2.45"
"9","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,3606,"± 20",2292,"± 18",1314,"± 4",NA,"NA","± NA",11,"TACC-Stampede 2 SKX",1100.7,5.3,"0.1.2","stampede2-skx","Q3 2017","2.1"
"10","x86 Intel Xeon Plat. 8380, Ice Lake, AVX512 (TACC-Stampede 2)",80,8805,"± 27",3725,"± 20",5081,"± 14",NA,"NA","± NA",11,"TACC-Stampede 2 ICX",758.9,3.4,"0.1.2","stampede2-icx","Q2 2021","2.3"
"11","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,3233,"± 253",1941,"± 165",1292,"± 88","403 ± 14","8.0","± 0.5",11,"UBHPC_32core_SKX",1269.8,287.3,"0.1.2","UBHPC_32core","Q3 2017","2.1/3.7"
"12","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,10197,"± 53",4398,"± 31",5799,"± 29","543 ± 33","18.9","± 1.2",12,"UBHPC_56core",772.4,12,"0.1.2","UBHPC_56core","Q2 2021","2.0"
"13","x86 Intel Xeon Gold 6130, NVIDIA V100x2 (UB-HPC)",32,32628,"± 433",15656,"± 278",16972,"± 163","379 ± 34","86.8","± 8.3",11,"UBHPC_32core_SKX_ICC",683,281.9,"0.1.2","UBHPC_32core_V100","Q3 2017","2.1/3.7"
"14","x86 Intel Xeon Gold 6330, NVIDIA A100x2 (UB-HPC)",56,59323,"± 378",29691,"± 290",29631,"± 152","561 ± 69","107.2","± 13.6",11,"UBHPC_56core_A100",506.5,8.8,"0.1.2","UBHPC_56core_A100","Q2 2021","2.0"
