"","formal_name","cpu","cores","Simulation Speed (Mean)","Simulation Speed (St.Dev.)","Simulation Speed per core (Mean)","Power","ns_per_kwh (Mean)","ns_per_kwh (St.Dev.)","n","app_version","resource","release_date","nominal_freq"
"1","Ookami-OSS","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, GCC)",48,22.3,0.2,0.46,"111 ± 8",8.43,0.56,32,"2022","Ookami-OSS","2019?","1.8"
"2","Ookami-Fujitsu","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, FJ)",48,22.8,0.3,0.48,"105 ± 5",9.06,0.4,12,"2021.2-fugaku","Ookami-Fujitsu","2019?","1.8"
"3","ThunderX2","ARM Cavium ThunderX2 (SBU-Ookami)",64,28.8,4.2,0.45,NA,NA,NA,14,"2022.3-spack","ThunderX2","2018","2.0-2.5?"
"4","Amazon-Graviton2-48","ARM Amazon Graviton 2, Neoverse N1 (AWS)",48,37.8,0.1,0.79,NA,NA,NA,20,"2022.3-spack","amazon-graviton2-48","Nov-2019","2.6"
"5","Amazon-Graviton3-48","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",48,57,0.4,1.19,NA,NA,NA,20,"2022.3-spack","amazon-graviton3-48","Nov-2021","2.5"
"6","Amazon-Graviton3-64","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",64,71.4,1,1.12,NA,NA,NA,20,"2022.3-spack","amazon-graviton3-64","Nov-2021","2.5"
"7","Google-T2A-48","ARM Ampere Altra, Neoverse N1 (Azure)",48,39,1.8,0.81,NA,NA,NA,11,"2022.3-spack","google-tau-t2a-48","March-2021","Up to 3.0"
"8","Azure-Altra-48","ARM Ampere Altra, Neoverse N1 (Azure)",48,41,2.2,0.85,NA,NA,NA,11,"2022.3-spack","azure-altra-48","March-2021","Up to 3.0"
"9","Azure-Altra-64","ARM Ampere Altra, Neoverse N1 (Azure)",64,56.5,0.6,0.88,"270 ± 0",8.71,0.09,20,"2022.3-spack","azure-altra-64","March-2021","Up to 3.0"
"10","PSC Bridges-2","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (PSC-Bridges-2)",128,109.6,4.8,0.86,NA,NA,NA,20,"2022.3-spack","Bridges-2","Mid-2019","2.25"
"11","SDSC Expanse","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (SDSC Expanse)",128,99.8,8.6,0.78,NA,NA,NA,20,"2020.4","Expanse","Mid-2019","2.25"
"12","Purdue Anvil","x86 AMD EPYC 7763 Zen3(Milan), AVX2 (Purdue Anvil)",128,169.9,4.4,1.33,NA,NA,NA,20,"2021.2","Anvil","March-2021","2.45"
"13","TACC-Stampede 2 SKX","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,70.4,0.8,1.47,NA,NA,NA,11,"2021-beta1-UNCHECKED","stampede2-skx","Q3 2017","2.1"
"14","TACC-Stampede 2 ICX","x86 Intel Xeon Plat. 8380, Ice Lake, AVX512 (TACC-Stampede 2)",80,133.3,6,1.67,NA,NA,NA,20,"2022.3","stampede2-icx","Q2 2021","2.3"
"15","UBHPC_32core_SKX","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,37.6,0.9,1.18,"379 ± 33",4.17,0.36,21,"2022.3-spack","UBHPC_32core","Q3 2017","2.1/3.7"
"16","UBHPC_32core_SKX_ICC","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,39.3,0.9,1.23,"367 ± 35",4.5,0.5,11,"2022.3","UBHPC_32core_ICC","Q3 2017","2.1/3.7"
"17","UBHPC_56core","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,81.7,6.9,1.46,"633 ± 28",5.38,0.44,12,"2022.3-spack","UBHPC_56core","Q2 2021","2.0"
"18","UBHPC_56core_ICC","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,103,2,1.84,"619 ± 17",6.94,0.24,17,"2022.3","UBHPC_56core_ICC","Q2 2021","2.0"
"19","UBHPC_32core_SKX_ICC","x86 Intel Xeon Gold 6130, NVIDIA V100x2 (UB-HPC)",32,145.1,2.8,4.53,"435 ± 7",13.91,0.26,12,"2022.3","UBHPC_32core_V100","Q3 2017","2.1/3.7"
"20","UBHPC_56core_A100","x86 Intel Xeon Gold 6330, NVIDIA A100x2 (UB-HPC)",56,236.5,10.8,4.22,"707 ± 9",13.94,0.77,11,"2022.3","UBHPC_56core_A100","Q2 2021","2.0"
