"","cpu","cores","Mat. Mult. (Mean)","Mat. Mult. (St.Dev.)","LINPACK (Mean)","LINPACK (St.Dev.)","FFT (Mean)","FFT (St.Dev.)","Power","jobs_per_kwh (Mean)","jobs_per_kwh (St.Dev.)","n","Wall Clock Time (Mean)","Wall Clock Time (St.Dev.)","app_version","formal_name","resource","release_date","nominal_freq"
"1","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, GCC)",48,"28.4","± 0.1",828,"± 27","6.2","± 0.7","110 ± 0",560,"± 28",60,58.6,"± 3.6","1.5.0f","Ookami-OSS","Ookami-OSS","2019?","1.8"
"2","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, FJ)",48,"41.2","± 0.2",1177,"± 19","24.4","± 0.9","110 ± 0",185,"± 6",60,177.2,"± 5.8","1.5.0f","Ookami-Fujitsu","Ookami-Fujitsu","2019?","1.8"
"3","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, ARM)",48,"34.4","± 1.8",884,"± 72","0.3","± 0.0","110 ± 0",335,"± 19",60,98.2,"± 6.6","1.5.0f","Ookami-ARM","Ookami-ARM","2019?","1.8"
"4","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, Cray)",48,"19.1","± 3.7",758,"± 149","6.8","± 0.6","110 ± 0",204,"± 11",60,160.9,"± 10","1.5.0f","Ookami-Cray","Ookami-Cray","2019?","1.8"
"5","ARM Cavium ThunderX2 (SBU-Ookami)",64,"11.6","± 2.1",522,"± 106","33.5","± 3.7",NA,NA,"± NA",14,78.2,"± 7.7","1.5.0f","ThunderX2","ThunderX2","2018","2.0-2.5?"
"6","ARM Amazon Graviton 2, Neoverse N1 (AWS)",48,"17.0","± 0.0",682,"± 1","27.1","± 0.6",NA,NA,"± NA",20,55.1,"± 1.1","1.5.0f","Amazon-Graviton2-48","amazon-graviton2-48","Nov-2019","2.6"
"7","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",48,"18.9","± 0.3",776,"± 10","55.4","± 0.5",NA,NA,"± NA",20,42.5,"± 1.6","1.5.0f","Amazon-Graviton3-48","amazon-graviton3-48","Nov-2021","2.5"
"8","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",64,"18.1","± 0.0",965,"± 1","71.0","± 0.7",NA,NA,"± NA",20,39.2,"± 0.9","1.5.0f","Amazon-Graviton3-64","amazon-graviton3-64","Nov-2021","2.5"
"9","ARM Ampere Altra, Neoverse N1 (Azure)",48,"17.0","± 0.0",675,"± 17","26.5","± 0.4",NA,NA,"± NA",11,52.1,"± 1.9","1.5.0f","Google-T2A-48","google-tau-t2a-48","March-2021","Up to 3.0"
"10","ARM Ampere Altra, Neoverse N1 (Azure)",48,"17.2","± 0.0",691,"± 18","26.8","± 0.7",NA,NA,"± NA",11,42.3,"± 6.3","1.5.0f","Azure-Altra-48","azure-altra-48","March-2021","Up to 3.0"
"11","ARM Ampere Altra, Neoverse N1 (Azure)",64,"16.2","± 0.0",850,"± 4","33.1","± 1.1","270 ± 0",314,"± 23",20,42.8,"± 3.4","1.5.0f","Azure-Altra-64","azure-altra-64","March-2021","Up to 3.0"
"12","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (PSC-Bridges-2)",128,"20.5","± 0.7",1895,"± 42","50.3","± 0.3",NA,NA,"± NA",20,23.9,"± 7.1","1.5.0f","PSC Bridges-2","Bridges-2","Mid-2019","2.25"
"13","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (SDSC Expanse)",128,"25.0","± 1.4",1721,"± 47","71.8","± 2.0",NA,NA,"± NA",20,49,"± 1","1.5.0f","SDSC Expanse","Expanse","Mid-2019","2.25"
"14","x86 AMD EPYC 7763 Zen3(Milan), AVX2 (Purdue Anvil)",128,"23.8","± 1.6",2176,"± 100","54.7","± 4.8",NA,NA,"± NA",20,36.9,"± 0.9","1.5.0f","Purdue Anvil","Anvil","March-2021","2.45"
"15","x86 Intel Xeon Phi 7250, KNL, AVX512 (TACC-Stampede 2)",68,"5.0","± 0.3",986,"± 8","46.5","± 0.7",NA,NA,"± NA",20,174.3,"± 0.7","1.5.0f","TACC-Stampede 2 KNL","stampede2-knl","Q2 2016","1.4"
"16","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,"44.2","± 1.7",1158,"± 34","35.8","± 1.9",NA,NA,"± NA",20,78.4,"± 24.7","1.5.0f","TACC-Stampede 2 SKX","stampede2-skx","Q3 2017","2.1"
"17","x86 Intel Xeon Plat. 8380, Ice Lake, AVX512 (TACC-Stampede 2)",80,"47.8","± 0.6",1713,"± 5","76.4","± 2.0",NA,NA,"± NA",12,86.2,"± 0.9","1.5.0f","TACC-Stampede 2 ICX","stampede2-icx","Q2 2021","2.3"
"18","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,"48.0","± 2.0",997,"± 54","50.9","± 1.9","345 ± 31",74,"± 6",53,142.1,"± 1.1","1.4.2f","UBHPC_32core_SKX","UBHPC_32core","Q3 2017","2.1/3.7"
"19","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,"49.3","± 1.1",1396,"± 37","47.9","± 0.7","588 ± 64",109,"± 12",12,57.2,"± 3","1.5.0f","UBHPC_56core","UBHPC_56core","Q2 2021","2.0"
"20","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,"50.8","± 1.0",1399,"± 13","28.2","± 0.3","501 ± 107",299,"± 71",12,25.2,"± 0.6","1.5.0f","UBHPC_56core_ICC","UBHPC_56core_ICC","Q2 2021","2.0"
