"","formal_name","cpu","cores","Wall Clock Time (Mean)","Wall Clock Time (St.Dev.)","Meshing Time (Mean)","Meshing Time (St.Dev.)","Solver Time (Mean)","Solver Time (St.Dev.)","Power","jobs_per_kwh (Mean)","jobs_per_kwh (St.Dev.)","n","app_version","resource","release_date","nominal_freq"
"1","Ookami-OSS","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, GCC)",48,"28.4","± 0.9","14.6","± 0.9","12.4","± 0.1","110 ± 7","19.3","± 1.6",21,"_76d719d1e6-20220624 OPENFOAM=2206 version=v2206","Ookami-OSS","2019?","1.8"
"2","Ookami-Fujitsu","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, FJ)",48,"22.4","± 0.3","8.5","± 0.1","10.9","± 0.2","111 ± 7","24.1","± 1.6",21,"v1812 OPENFOAM=1812","Ookami-Fujitsu","2019?","1.8"
"3","Amazon-Graviton2-48","ARM Amazon Graviton 2, Neoverse N1 (AWS)",48,"11.9","± 0.3","3.5","± 0.2","8.0","± 0.1",NA,"NA","± NA",10,NA,"amazon-graviton2-48","Nov-2019","2.6"
"4","Amazon-Graviton3-48","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",48,"7.1","± 0.2","2.2","± 0.2","4.7","± 0.0",NA,"NA","± NA",5,NA,"amazon-graviton3-48","Nov-2021","2.5"
"5","Amazon-Graviton3-64","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",64,"6.8","± 0.1","2.2","± 0.1","4.4","± 0.1",NA,"NA","± NA",20,"_76d719d1e6-20220624 OPENFOAM=2206 version=v2206","amazon-graviton3-64","Nov-2021","2.5"
"6","Google-T2A-48","ARM Ampere Altra, Neoverse N1 (Azure)",48,"11.1","± 0.2","3.2","± 0.2","7.6","± 0.1",NA,"NA","± NA",10,NA,"google-tau-t2a-48","March-2021","Up to 3.0"
"7","Azure-Altra-64","ARM Ampere Altra, Neoverse N1 (Azure)",64,"10.9","± 0.4","3.2","± 0.2","7.2","± 0.2","270 ± 0","20.4","± 0.6",20,"_76d719d1e6-20220624 OPENFOAM=2206 version=v2206","azure-altra-64","March-2021","Up to 3.0"
"8","SDSC Expanse","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (SDSC Expanse)",128,"9.5","± 1.9","5.6","± 1.4","3.2","± 1.1",NA,"NA","± NA",20,NA,"Expanse","Mid-2019","2.25"
"9","Purdue Anvil","x86 AMD EPYC 7763 Zen3(Milan), AVX2 (Purdue Anvil)",128,"6.6","± 0.2","3.1","± 0.5","2.9","± 0.5",NA,"NA","± NA",19,NA,"Anvil","March-2021","2.45"
"10","TACC-Stampede 2 SKX","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,"10.7","± 0.4","3.7","± 0.3","6.4","± 0.1",NA,"NA","± NA",10,NA,"stampede2-skx","Q3 2017","2.1"
"11","TACC-Stampede 2 ICX","x86 Intel Xeon Plat. 8380, Ice Lake, AVX512 (TACC-Stampede 2)",80,"6.8","± 0.3","2.6","± 0.2","3.7","± 0.3",NA,"NA","± NA",20,NA,"stampede2-icx","Q2 2021","2.3"
"12","UBHPC_32core_SKX","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,"13.2","± 0.8","4.1","± 0.4","7.7","± 0.1","375 ± 35","12.3","± 1.0",23,"_76d719d1e6-20220624 OPENFOAM=2206 version=v2206","UBHPC_32core","Q3 2017","2.1/3.7"
"13","UBHPC_56core","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,"8.9","± 0.5","2.8","± 0.3","4.7","± 0.2","505 ± 34","13.4","± 0.9",20,"_76d719d1e6-20220624 OPENFOAM=2206 version=v2206","UBHPC_56core","Q2 2021","2.0"
